source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,coda_type,location,latitude,longitude,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
sharma2024_dswp,10.1038/s41467-024-47221-8,2178,,06/02/2010,,5,1.0193,5987,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.3464,0.3283,0.1892,0.1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2179,,06/02/2010,,5,1.1095,5987,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.3724,0.3252,0.2358,0.1761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2180,,06/02/2010,,6,0.2874,,,J,EC1,6i,"Dominica, Eastern Caribbean",,,0.0303,0.0755,0.0531,0.0622,0.0663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2181,,06/02/2010,,6,0.7664,,,J,EC1,6-NOISE,"Dominica, Eastern Caribbean",,,0.222,0.1471,0.1032,0.158,0.1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2182,,06/02/2010,,4,0.8058,,,J,EC1,4R2,"Dominica, Eastern Caribbean",,,0.2571,0.2377,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2183,,06/02/2010,,5,0.8474,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2822,0.265,0.1638,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2184,,06/02/2010,,5,1.0295,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.3347,0.3663,0.1586,0.1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2185,,06/02/2010,,5,0.9719,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.3208,0.3149,0.1777,0.1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2186,,06/02/2010,,5,0.931,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.3097,0.3014,0.1694,0.1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2187,,06/02/2010,,5,0.8705,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2861,0.2581,0.1602,0.1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
