source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,coda_type,location,latitude,longitude,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
sharma2024_dswp,10.1038/s41467-024-47221-8,17,,25/03/2008,,6,0.438,,,A,EC1,6i,"Dominica, Eastern Caribbean",,,0.081,0.079,0.076,0.063,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,18,,25/03/2008,,6,0.347,,,A,EC1,6i,"Dominica, Eastern Caribbean",,,0.07,0.058,0.062,0.067,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,19,,25/03/2008,,6,0.385,,,A,EC1,6i,"Dominica, Eastern Caribbean",,,0.064,0.066,0.079,0.076,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,20,,25/03/2008,,6,0.84,,,A,EC1,6-NOISE,"Dominica, Eastern Caribbean",,,0.21,0.189,0.167,0.126,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,21,,25/03/2008,,6,0.356,,,A,EC1,6i,"Dominica, Eastern Caribbean",,,0.08,0.073,0.062,0.064,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,22,,25/03/2008,,6,0.811,,,A,EC1,6-NOISE,"Dominica, Eastern Caribbean",,,0.249,0.187,0.125,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,23,,25/03/2008,,7,0.392,,,A,EC1,7i,"Dominica, Eastern Caribbean",,,0.05,0.058,0.063,0.06,0.063,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,24,,25/03/2008,,7,0.898,,,A,EC1,7i,"Dominica, Eastern Caribbean",,,0.234,0.174,0.124,0.115,0.114,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,25,,25/03/2008,,7,0.954,,,A,EC1,7D1,"Dominica, Eastern Caribbean",,,0.224,0.202,0.138,0.118,0.117,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,26,,25/03/2008,,7,0.907,,,A,EC1,7D1,"Dominica, Eastern Caribbean",,,0.215,0.189,0.142,0.11,0.118,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,27,,25/03/2008,,7,0.925,,,A,EC1,7D1,"Dominica, Eastern Caribbean",,,0.238,0.177,0.124,0.137,0.106,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,28,,25/03/2008,,7,0.884,,,A,EC1,7D1,"Dominica, Eastern Caribbean",,,0.231,0.211,0.127,0.083,0.105,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,29,,25/03/2008,,7,0.975,,,A,EC1,7D1,"Dominica, Eastern Caribbean",,,0.251,0.217,0.125,0.127,0.107,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,30,,25/03/2008,,7,0.972,,,A,EC1,7D1,"Dominica, Eastern Caribbean",,,0.247,0.222,0.123,0.097,0.116,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,31,,25/03/2008,,7,0.343,,,A,EC1,7i,"Dominica, Eastern Caribbean",,,0.046,0.056,0.056,0.055,0.058,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,32,,25/03/2008,,7,0.337,,,A,EC1,7i,"Dominica, Eastern Caribbean",,,0.042,0.057,0.056,0.058,0.056,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,33,,25/03/2008,,7,0.357,,,A,EC1,7i,"Dominica, Eastern Caribbean",,,0.066,0.058,0.054,0.059,0.056,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,34,,25/03/2008,,7,0.364,,,A,EC1,7i,"Dominica, Eastern Caribbean",,,0.06,0.065,0.056,0.051,0.049,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,35,,25/03/2008,,8,0.868,,,A,EC1,8-NOISE,"Dominica, Eastern Caribbean",,,0.188,0.133,0.117,0.105,0.097,0.1,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,36,,25/03/2008,,8,0.367,,,A,EC1,8i,"Dominica, Eastern Caribbean",,,0.044,0.05,0.051,0.051,0.048,0.055,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
