source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,location,latitude,longitude,rhythm,extra_click,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
sharma2025_birth,10.1038/s41598-025-27438-3,row28,CETI23-277,2023,30.52204,5,0.7451599999999989,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.263439999999999,0.19248,0.15269,0.13655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row29,CETI23-277,2023,32.87325,5,0.7285000000000039,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.262100000000004,0.185479999999998,0.141129999999997,0.139790000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row30,CETI23-277,2023,33.892,5,0.7531199999999949,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.218039999999995,0.24315,0.151230000000005,0.140699999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row31,CETI23-277,2023,35.15776,5,0.7092399999999941,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.246409999999997,0.177250000000001,0.134659999999997,0.150919999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row32,CETI23-277,2023,37.972,4,0.1844400000000022,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.0552899999999994,0.0360599999999991,0.0930900000000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row33,CETI23-277,2023,38.29527,3,0.320189999999996,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.165399999999998,0.154789999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row34,CETI23-277,2023,39.47123,4,0.1744200000000052,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.0305999999999997,0.104820000000004,0.0390000000000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row35,CETI23-277,2023,41.49488,5,0.557079999999999,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.16581,0.124499999999998,0.13758,0.129190000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row36,CETI23-277,2023,45.74079,5,0.5536100000000064,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.0989600000000053,0.175190000000001,0.140309999999999,0.139150000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row37,CETI23-277,2023,46.67265,5,0.7752300000000001,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.283239999999999,0.188170000000007,0.144069999999999,0.159749999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row38,CETI23-277,2023,47.1666,5,0.789929999999998,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.257759999999998,0.248930000000001,0.149949999999997,0.133290000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row39,CETI23-277,2023,47.75323,5,0.7121,,CETI23-277_seg3,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.216999999999999,0.208100000000002,0.14311,0.143889999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row40,CETI23-277,2023,49.62601,5,0.7903200000000001,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.215719999999997,0.280250000000002,0.155239999999999,0.139110000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row41,CETI23-277,2023,49.98286,5,0.651209999999998,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.227829999999997,0.171370000000003,0.12903,0.122979999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row42,CETI23-277,2023,52.17843,5,0.670819999999999,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.254649999999998,0.157610000000005,0.122540000000001,0.136019999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row43,CETI23-277,2023,52.34577,5,0.8125000000000011,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.262090000000001,0.252019999999995,0.161290000000001,0.137100000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
