codanum,focal,whale,codatype,Duration,handv
5404,True,ATWOOD,1+1+3,0.7687,i
5405,True,ATWOOD,1+1+3,0.7850166,i
5406,True,ATWOOD,1+1+3,0.7852417,i
5407,True,ATWOOD,1+1+3,0.8296416,i
5408,True,ATWOOD,1+1+3,0.862775,i
5409,True,ATWOOD,1+1+3,0.8768917,i
5410,True,ATWOOD,1+1+3,0.8805834,i
5438,True,ATWOOD,5R1,0.4203084,a
5439,True,ATWOOD,1+1+3,0.7464,a
5440,True,ATWOOD,1+1+3,0.793675,a
5441,True,ATWOOD,1+1+3,0.7660833,a
5442,True,ATWOOD,1+1+3,0.759325,a
5443,True,ATWOOD,1+1+3,0.7812167,a
5444,True,ATWOOD,1+1+3,0.89385,a
5445,True,ATWOOD,1+1+3,0.956275,a
5446,True,ATWOOD,1+1+3,0.9456667,a
5447,True,ATWOOD,1+1+3,0.9677416,a
5448,True,ATWOOD,1+1+3,0.9564333,a
5449,True,ATWOOD,1+1+3,0.9585084,a
5450,True,ATWOOD,1+1+3,1.0144083,a
5451,True,ATWOOD,1+1+3,1.033875,a
5452,True,ATWOOD,1+1+3,1.0366667,a
5453,True,ATWOOD,1+1+3,1.0271166,a
5454,True,ATWOOD,1+1+3,1.0380166,a
5455,True,ATWOOD,1+1+3,1.0521083,a
5456,True,ATWOOD,1+1+3,1.0684583,a
5457,True,ATWOOD,1+1+3,1.0656083,a
5458,True,ATWOOD,1+1+3,1.04845,a
5459,True,ATWOOD,1+1+3,1.0675417,a
5460,True,ATWOOD,1+1+3,1.0302917,a
5461,True,ATWOOD,1+1+3,1.018925,a
5462,True,ATWOOD,1+1+3,1.1263333,a
5463,True,ATWOOD,5-NOISE,1.2020583,a
5464,True,ATWOOD,1+1+3,1.034075,a
5465,True,ATWOOD,1+1+3,1.0480417,a
5466,True,ATWOOD,1+1+3,1.0299167,a
5467,True,ATWOOD,1+1+3,1.0887333,a
5468,True,ATWOOD,1+1+3,1.0520833,a
5469,True,ATWOOD,1+1+3,1.07485,a
5470,True,ATWOOD,1+1+3,0.8958917,a
5471,True,ATWOOD,1+1+3,0.8544901,a
5472,True,ATWOOD,1+1+3,0.84825,a
5473,True,ATWOOD,1+1+3,0.8334932,a
5474,True,ATWOOD,1+1+3,0.821225,a
5475,True,ATWOOD,1+1+3,0.83,a
5476,True,ATWOOD,1+1+3,0.8683833,a
5477,True,ATWOOD,4-NOISE,0.7185,a
5478,True,ATWOOD,1+1+3,0.9305667,a
5479,True,ATWOOD,1+1+3,0.9664,a
5480,True,ATWOOD,7-NOISE,1.1172917,a
5481,True,ATWOOD,1+1+3,0.8844583,
5482,True,ATWOOD,1+1+3,0.9230333,
5483,True,ATWOOD,1+1+3,0.9025667,
5611,True,ATWOOD,1+1+3,1.1183506,a
5612,True,ATWOOD,1+1+3,0.9721834,a
5613,True,ATWOOD,1+1+3,1.0742847,a
5642,True,ATWOOD,1+1+3,1.235475,a
5643,True,ATWOOD,1+1+3,1.1523917,a
5644,True,ATWOOD,1+1+3,1.1503583,a
5645,True,ATWOOD,1+1+3,1.1101,a
5646,True,ATWOOD,1+1+3,1.094825,a
5647,True,ATWOOD,1+1+3,1.0957333,a
5648,True,ATWOOD,1+1+3,1.11915,a
5649,True,ATWOOD,1+1+3,1.0698667,a
5650,True,ATWOOD,6-NOISE,1.2037167,a
5651,True,ATWOOD,1+1+3,1.0529833,a
5652,True,ATWOOD,1+1+3,1.0359,a
5653,True,ATWOOD,1+1+3,1.0386333,a
5654,True,ATWOOD,1+1+3,1.084925,a
5655,True,ATWOOD,4-NOISE,0.4167417,a
5656,True,ATWOOD,4-NOISE,1.1113083,a
5671,True,ATWOOD,5-NOISE,1.05305,a
5672,True,ATWOOD,1+1+3,1.101425,a
5673,True,ATWOOD,1+1+3,1.0922833,a
5674,True,ATWOOD,1+1+3,1.179475,a
5701,True,ATWOOD,1+1+3,0.828325,i
5702,True,ATWOOD,1+1+3,0.81205,i
5703,True,ATWOOD,1+1+3,0.8317167,i
5704,True,ATWOOD,1+1+3,0.8067667,i
5705,True,ATWOOD,1+1+3,0.814625,i
5706,True,ATWOOD,1+1+3,0.8154333,i
5707,True,ATWOOD,1+1+3,0.8327917,i
5708,True,ATWOOD,1+1+3,1.0134416,a
5709,True,ATWOOD,1+1+3,0.991525,a
5710,True,ATWOOD,1+1+3,1.01,a
5711,True,ATWOOD,1+1+3,1.0208584,i
5712,True,ATWOOD,1+1+3,1.0607417,i
5713,True,ATWOOD,1+1+3,1.1085834,i
5714,True,ATWOOD,1+1+3,1.10305,i
5715,True,ATWOOD,1+1+3,1.08995,i
5716,True,ATWOOD,1+1+3,1.0892424,i
5717,True,ATWOOD,1+1+3,1.0690917,i
5718,True,ATWOOD,1+1+3,1.1135,i
5719,True,ATWOOD,1+1+3,1.1547333,i
5720,True,ATWOOD,1+1+3,1.1308667,i
5721,True,ATWOOD,1+1+3,1.1203333,i
5722,True,ATWOOD,1+1+3,1.1508834,i
5723,True,ATWOOD,1+1+3,1.1566,i
5724,True,ATWOOD,6-NOISE,1.336725,i
5725,True,ATWOOD,1+1+3,1.1634917,i
5726,True,ATWOOD,6-NOISE,1.299475,i
5727,True,ATWOOD,1+1+3,1.1628,i
5728,True,ATWOOD,1+1+3,1.1656583,i
5782,True,ATWOOD,1+1+3,1.2202333,i
5783,True,ATWOOD,1+1+3,1.1449333,i
5784,True,ATWOOD,1+1+3,1.0572583,i
5785,True,ATWOOD,1+1+3,0.9682667,i
5787,True,ATWOOD,1+1+3,0.8077417,i
5788,True,ATWOOD,1+1+3,0.8556833,i
5803,True,ATWOOD,1+1+3,0.87825,i
5804,True,ATWOOD,1+1+3,0.85415,i
5805,True,ATWOOD,1+1+3,1.11705,i
5806,True,ATWOOD,1+1+3,1.0714083,i
5813,True,ATWOOD,1+1+3,1.019675,i
5814,True,ATWOOD,1+1+3,1.0788583,i
5842,True,ATWOOD,1+1+3,0.8859675,i
5843,True,ATWOOD,1+1+3,0.8799,i
5844,True,ATWOOD,1+1+3,0.8463917,i
5845,True,ATWOOD,1+1+3,0.8346667,i
5846,True,ATWOOD,1+1+3,0.8433333,i
5847,True,ATWOOD,1+1+3,0.8982834,i
5848,True,ATWOOD,1+1+3,0.8765334,i
5849,True,ATWOOD,1+1+3,0.8924916,i
5850,True,ATWOOD,1+1+3,0.9098583,i
5851,True,ATWOOD,6-NOISE,1.172941,i
5852,True,ATWOOD,1+1+3,1.0251,i
5853,True,ATWOOD,1+1+3,0.9940583,i
5854,True,ATWOOD,1+1+3,1.0115083,i
5881,True,ATWOOD,1+1+3,1.1465686,a
5882,True,ATWOOD,1+1+3,1.10535,a
5883,True,ATWOOD,1+1+3,1.1412916,a
5884,True,ATWOOD,1+1+3,1.13355,a
5885,True,ATWOOD,1+1+3,1.2065834,a
5886,True,ATWOOD,1+1+3,1.147725,a
5887,True,ATWOOD,1+1+3,1.1420083,a
5888,True,ATWOOD,1+1+3,1.1559333,a
5889,True,ATWOOD,1+1+3,1.1360083,a
5890,True,ATWOOD,1+1+3,1.1140417,a
5921,True,ATWOOD,1+1+3,1.0642751,a
5922,True,ATWOOD,1+1+3,1.065625,a
5923,True,ATWOOD,1+1+3,1.052175,a
5924,True,ATWOOD,1+1+3,1.0389334,a
5925,True,ATWOOD,1+1+3,1.2406007,a
5926,True,ATWOOD,1+1+3,1.2518417,a
