CodaNumber,nClicks,Length,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,CodaName,Unit,WhaleID,Date
142,4,1.051,0.359,0.347,0.345,0,0,0,0,0,0,4R2,1,0,40234
143,4,1.061,0.356,0.362,0.343,0,0,0,0,0,0,4R2,1,0,40234
144,4,1.025,0.347,0.335,0.343,0,0,0,0,0,0,4R2,1,0,40234
145,4,1.035,0.349,0.339,0.347,0,0,0,0,0,0,4R2,1,0,40234
146,5,0.858,0.081,0.486,0.159,0.132,0,0,0,0,0,5R3,1,0,40234
147,5,0.974,0.324,0.287,0.191,0.172,0,0,0,0,0,1+1+3,1,0,40234
148,5,0.935,0.307,0.303,0.181,0.144,0,0,0,0,0,1+1+3,1,0,40234
149,5,0.953,0.313,0.318,0.172,0.15,0,0,0,0,0,1+1+3,1,0,40234
150,5,1.067,0.365,0.331,0.166,0.205,0,0,0,0,0,1+1+3,1,0,40234
151,5,1.082,0.374,0.377,0.186,0.145,0,0,0,0,0,1+1+3,1,0,40234
152,5,0.967,0.311,0.357,0.164,0.135,0,0,0,0,0,1+1+3,1,0,40234
153,5,1.019,0.345,0.332,0.188,0.154,0,0,0,0,0,1+1+3,1,0,40234
154,5,0.999,0.333,0.322,0.183,0.161,0,0,0,0,0,1+1+3,1,0,40234
155,5,0.837,0.222,0.27,0.186,0.159,0,0,0,0,0,1+1+3,1,0,40234
156,5,0.862,0.267,0.265,0.19,0.14,0,0,0,0,0,1+1+3,1,0,40234
157,5,0.705,0.14,0.308,0.139,0.118,0,0,0,0,0,1+1+3,1,0,40234
158,5,0.224,0.054,0.052,0.057,0.061,0,0,0,0,0,5R1,1,0,40234
159,6,0.241,0.046,0.042,0.045,0.049,0.059,0,0,0,0,6I,1,0,40234
160,6,0.313,0.042,0.048,0.054,0.056,0.113,0,0,0,0,NOISE,1,0,40234
161,7,0.589,0.069,0.07,0.074,0.078,0.1,0.198,0,0,0,7I,1,0,40234
162,7,0.622,0.083,0.079,0.087,0.085,0.094,0.194,0,0,0,7I,1,0,40234
163,7,0.482,0.07,0.07,0.061,0.075,0.09,0.116,0,0,0,7I,1,0,40234
164,3,0.374,0.211,0.163,0,0,0,0,0,0,0,3D,1,0,40237
165,3,0.336,0.207,0.129,0,0,0,0,0,0,0,3D,1,0,40237
166,3,0.359,0.22,0.139,0,0,0,0,0,0,0,3D,1,0,40237
167,3,0.309,0.168,0.141,0,0,0,0,0,0,0,3D,1,0,40237
168,3,0.367,0.223,0.144,0,0,0,0,0,0,0,3D,1,0,40237
169,3,0.331,0.198,0.133,0,0,0,0,0,0,0,3D,1,0,40237
170,3,0.349,0.214,0.135,0,0,0,0,0,0,0,3D,1,0,40237
171,4,0.791,0.259,0.252,0.28,0,0,0,0,0,0,4R2,1,0,40237
172,4,0.786,0.261,0.241,0.284,0,0,0,0,0,0,4R2,1,0,40237
173,4,0.783,0.251,0.265,0.267,0,0,0,0,0,0,4R2,1,0,40237
174,4,0.724,0.225,0.238,0.261,0,0,0,0,0,0,4R2,1,0,40237
175,4,0.694,0.219,0.216,0.259,0,0,0,0,0,0,4R2,1,0,40237
176,4,0.759,0.253,0.271,0.235,0,0,0,0,0,0,NOISE,1,0,40237
177,4,0.732,0.243,0.239,0.25,0,0,0,0,0,0,NOISE,1,0,40237
178,4,0.737,0.207,0.248,0.282,0,0,0,0,0,0,4R2,1,0,40237
179,4,0.752,0.244,0.244,0.264,0,0,0,0,0,0,4R2,1,0,40237
180,4,0.775,0.257,0.253,0.265,0,0,0,0,0,0,4R2,1,0,40237
181,4,0.791,0.263,0.236,0.292,0,0,0,0,0,0,4R2,1,0,40237
182,5,0.53,0.171,0.126,0.121,0.112,0,0,0,0,0,NOISE,1,0,40237
183,5,0.573,0.192,0.171,0.11,0.1,0,0,0,0,0,1+1+3,1,0,40237
