source,source_coda_id,coda_type_gero21,classifier_origin
sharma2025_birth,row308,4R2,pacific-matched
sharma2025_birth,row309,1+1+3,pacific-matched
sharma2025_birth,row310,1+1+3,pacific-matched
sharma2025_birth,row311,1+1+3,pacific-matched
sharma2025_birth,row312,1+1+3,pacific-matched
sharma2025_birth,row313,1+1+3,pacific-matched
sharma2025_birth,row314,1+1+3,pacific-matched
sharma2025_birth,row315,6-NOISE,discovery-noise
sharma2025_birth,row316,3D,pacific-matched
sharma2025_birth,row317,1+1+3,pacific-matched
sharma2025_birth,row318,1+1+3,pacific-matched
sharma2025_birth,row319,1+1+3,pacific-matched
sharma2025_birth,row320,1+1+3,pacific-matched
sharma2025_birth,row321,5-NOISE,discovery-noise
sharma2025_birth,row322,1+31,pacific-matched
sharma2025_birth,row323,10i,pacific-matched
sharma2025_birth,row324,1+1+3,pacific-matched
sharma2025_birth,row325,1+1+3,pacific-matched
sharma2025_birth,row326,1+1+3,pacific-matched
sharma2025_birth,row327,1+1+3,pacific-matched
sharma2025_birth,row328,1+1+3,pacific-matched
sharma2025_birth,row329,1+1+3,pacific-matched
sharma2025_birth,row330,1+1+3,pacific-matched
sharma2025_birth,row331,1+1+3,pacific-matched
sharma2025_birth,row332,1+1+3,pacific-matched
sharma2025_birth,row333,1+1+3,pacific-matched
sharma2025_birth,row334,1+1+3,pacific-matched
sharma2025_birth,row335,4R2,pacific-matched
sharma2025_birth,row336,1+1+3,pacific-matched
sharma2025_birth,row337,1+1+3,pacific-matched
sharma2025_birth,row338,1+1+3,pacific-matched
sharma2025_birth,row339,1+1+3,pacific-matched
sharma2025_birth,row340,1+1+3,pacific-matched
sharma2025_birth,row341,1+1+3,pacific-matched
sharma2025_birth,row342,1+1+3,pacific-matched
sharma2025_birth,row343,6-NOISE,discovery-noise
sharma2025_birth,row344,1+1+3,pacific-matched
sharma2025_birth,row345,4R2,pacific-matched
sharma2025_birth,row346,4R2,pacific-matched
sharma2025_birth,row347,1+1+3,pacific-matched
sharma2025_birth,row348,1+1+3,pacific-matched
sharma2025_birth,row349,1+1+3,pacific-matched
sharma2025_birth,row350,1+31,pacific-matched
sharma2025_birth,row351,4R2,pacific-matched
sharma2025_birth,row352,1+1+3,pacific-matched
sharma2025_birth,row353,6-NOISE,discovery-noise
sharma2025_birth,row354,1+1+3,pacific-matched
sharma2025_birth,row355,1+1+3,pacific-matched
sharma2025_birth,row356,1+1+3,pacific-matched
sharma2025_birth,row357,1+1+3,pacific-matched
sharma2025_birth,row358,8D,pacific-matched
sharma2025_birth,row359,1+1+3,pacific-matched
sharma2025_birth,row360,5R2,pacific-matched
sharma2025_birth,row361,1+1+3,pacific-matched
sharma2025_birth,row362,1+1+3,pacific-matched
sharma2025_birth,row363,8R,pacific-matched
sharma2025_birth,row364,1+1+3,pacific-matched
sharma2025_birth,row365,1+1+3,pacific-matched
sharma2025_birth,row366,4R1,pacific-matched
sharma2025_birth,row367,1+1+3,pacific-matched
sharma2025_birth,row368,1+1+3,pacific-matched
sharma2025_birth,row369,1+1+3,pacific-matched
sharma2025_birth,row370,1+1+3,pacific-matched
sharma2025_birth,row371,1+1+3,pacific-matched
sharma2025_birth,row372,1+1+3,pacific-matched
sharma2025_birth,row373,1+1+3,pacific-matched
sharma2025_birth,row374,1+1+3,pacific-matched
sharma2025_birth,row375,1+1+3,pacific-matched
sharma2025_birth,row376,1+1+3,pacific-matched
sharma2025_birth,row377,1+1+3,pacific-matched
sharma2025_birth,row378,1+1+3,pacific-matched
sharma2025_birth,row379,1+1+3,pacific-matched
sharma2025_birth,row380,1+1+3,pacific-matched
sharma2025_birth,row381,1+31,pacific-matched
sharma2025_birth,row382,1+1+3,pacific-matched
sharma2025_birth,row383,4D,pacific-matched
sharma2025_birth,row384,1+1+3,pacific-matched
sharma2025_birth,row385,1+1+3,pacific-matched
sharma2025_birth,row386,6i,pacific-matched
sharma2025_birth,row387,5R1,pacific-matched
sharma2025_birth,row388,1+1+3,pacific-matched
sharma2025_birth,row389,1+1+3,pacific-matched
sharma2025_birth,row390,1+1+3,pacific-matched
sharma2025_birth,row391,1+1+3,pacific-matched
sharma2025_birth,row393,1+1+3,pacific-matched
sharma2025_birth,row395,1+1+3,pacific-matched
sharma2025_birth,row396,1+1+3,pacific-matched
sharma2025_birth,row397,1+1+3,pacific-matched
sharma2025_birth,row398,1+1+3,pacific-matched
sharma2025_birth,row399,1+1+3,pacific-matched
sharma2025_birth,row400,1+1+3,pacific-matched
sharma2025_birth,row401,1+1+3,pacific-matched
sharma2025_birth,row402,1+1+3,pacific-matched
sharma2025_birth,row403,1+1+3,pacific-matched
sharma2025_birth,row404,1+1+3,pacific-matched
sharma2025_birth,row405,1+1+3,pacific-matched
sharma2025_birth,row406,1+1+3,pacific-matched
sharma2025_birth,row407,1+1+3,pacific-matched
sharma2025_birth,row408,1+1+3,pacific-matched
sharma2025_birth,row409,1+1+3,pacific-matched
sharma2025_birth,row410,1+1+3,pacific-matched
sharma2025_birth,row411,3D,pacific-matched
sharma2025_birth,row412,3D,pacific-matched
sharma2025_birth,row413,1+1+3,pacific-matched
sharma2025_birth,row414,4R2,pacific-matched
sharma2025_birth,row415,1+1+3,pacific-matched
sharma2025_birth,row416,1+1+3,pacific-matched
sharma2025_birth,row417,4R2,pacific-matched
sharma2025_birth,row418,1+1+3,pacific-matched
sharma2025_birth,row419,4R2,pacific-matched
sharma2025_birth,row420,5R2,pacific-matched
sharma2025_birth,row421,1+1+3,pacific-matched
sharma2025_birth,row422,4R2,pacific-matched
sharma2025_birth,row423,5R2,pacific-matched
sharma2025_birth,row424,1+1+3,pacific-matched
sharma2025_birth,row425,1+1+3,pacific-matched
sharma2025_birth,row426,4R2,pacific-matched
sharma2025_birth,row427,5R2,pacific-matched
sharma2025_birth,row428,1+1+3,pacific-matched
sharma2025_birth,row429,5R2,pacific-matched
sharma2025_birth,row430,1+1+3,pacific-matched
sharma2025_birth,row431,5R1,pacific-matched
sharma2025_birth,row432,4R2,pacific-matched
sharma2025_birth,row433,5R2,pacific-matched
sharma2025_birth,row434,1+1+3,pacific-matched
sharma2025_birth,row435,1+1+3,pacific-matched
sharma2025_birth,row436,5R2,pacific-matched
sharma2025_birth,row437,5R2,pacific-matched
sharma2025_birth,row438,1+1+3,pacific-matched
sharma2025_birth,row439,5R2,pacific-matched
sharma2025_birth,row440,1+1+3,pacific-matched
sharma2025_birth,row441,5R2,pacific-matched
sharma2025_birth,row442,1+1+3,pacific-matched
sharma2025_birth,row443,5R2,pacific-matched
sharma2025_birth,row444,1+1+3,pacific-matched
sharma2025_birth,row445,1+1+3,pacific-matched
sharma2025_birth,row446,1+1+3,pacific-matched
sharma2025_birth,row447,5R3,pacific-matched
sharma2025_birth,row448,1+1+3,pacific-matched
sharma2025_birth,row449,1+1+3,pacific-matched
sharma2025_birth,row450,1+1+3,pacific-matched
sharma2025_birth,row452,1+1+3,pacific-matched
sharma2025_birth,row453,1+1+3,pacific-matched
sharma2025_birth,row454,1+1+3,pacific-matched
sharma2025_birth,row455,1+1+3,pacific-matched
sharma2025_birth,row456,1+1+3,pacific-matched
sharma2025_birth,row457,6-NOISE,discovery-noise
sharma2025_birth,row458,1+1+3,pacific-matched
sharma2025_birth,row459,1+1+3,pacific-matched
sharma2025_birth,row460,1+1+3,pacific-matched
sharma2025_birth,row461,1+1+3,pacific-matched
sharma2025_birth,row462,4R2,pacific-matched
sharma2025_birth,row463,1+1+3,pacific-matched
sharma2025_birth,row464,1+1+3,pacific-matched
sharma2025_birth,row465,1+1+3,pacific-matched
sharma2025_birth,row466,4R2,pacific-matched
sharma2025_birth,row467,1+1+3,pacific-matched
sharma2025_birth,row468,1+1+3,pacific-matched
sharma2025_birth,row469,1+1+3,pacific-matched
sharma2025_birth,row470,1+1+3,pacific-matched
sharma2025_birth,row471,1+1+3,pacific-matched
sharma2025_birth,row472,5R1,pacific-matched
sharma2025_birth,row473,1+1+3,pacific-matched
sharma2025_birth,row474,1+31,pacific-matched
sharma2025_birth,row475,4R2,pacific-matched
sharma2025_birth,row476,1+1+3,pacific-matched
sharma2025_birth,row477,1+1+3,pacific-matched
sharma2025_birth,row478,3D,pacific-matched
sharma2025_birth,row479,4R2,pacific-matched
sharma2025_birth,row480,4R2,pacific-matched
sharma2025_birth,row481,1+1+3,pacific-matched
sharma2025_birth,row482,1+1+3,pacific-matched
sharma2025_birth,row483,1+1+3,pacific-matched
sharma2025_birth,row484,1+1+3,pacific-matched
sharma2025_birth,row485,4R2,pacific-matched
sharma2025_birth,row486,1+1+3,pacific-matched
sharma2025_birth,row487,1+1+3,pacific-matched
sharma2025_birth,row488,3RP1,discovery-cluster
sharma2025_birth,row489,1+1+3,pacific-matched
sharma2025_birth,row490,4R2,pacific-matched
sharma2025_birth,row491,4R2,pacific-matched
sharma2025_birth,row492,1+1+3,pacific-matched
sharma2025_birth,row493,1+1+3,pacific-matched
sharma2025_birth,row494,4R2,pacific-matched
sharma2025_birth,row495,1+1+3,pacific-matched
sharma2025_birth,row496,1+1+3,pacific-matched
sharma2025_birth,row497,4R2,pacific-matched
sharma2025_birth,row498,1+1+3,pacific-matched
